,assignee_name,pub_number,cpc_code,filing_date,filing_year,country_code
0,LIM SOON SEOP,KR-20200021491-A,G06Q30/06,20200210,2020,KR
1,LIM SOON SEOP,KR-20200021488-A,G06Q30/06,20200210,2020,KR
2,ELECTRONIC COMMODITIES EXCHANGE L P,AU-2020200803-A1,G06Q30/06,20200204,2020,AU
3,LIM SOON SEOP,KR-20200021487-A,G06Q30/06,20200210,2020,KR
4,HIODZ LTD,AU-2020201164-A1,G06Q30/06,20200218,2020,AU
5,KIM IL SOO,KR-20200010554-A,G06Q30/06,20200122,2020,KR
6,HAN CHANG YUB,KR-20200011539-A,G06Q30/06,20200123,2020,KR
7,BEST APPS LLC,CO-2020000829-A2,G06Q30/06,20200218,2020,CO
8,LIM SOON SEOP,KR-20200021490-A,G06Q30/06,20200210,2020,KR
9,ZIONSOFT CO LTD,KR-20200015925-A,G06Q30/06,20200128,2020,KR
10,SAMSUNG ELECTRONICS CO LTD,KR-20200013006-A,G06Q30/06,20200122,2020,KR
11,CFPH LLC,AU-2020200039-A1,G06Q30/06,20200103,2020,AU
12,STRIPE INC,AU-2020201049-A1,G06Q30/06,20200213,2020,AU
13,SERVICENOW INC,AU-2020200723-A1,G06Q30/06,20200131,2020,AU
14,Ceddy Pty Ltd,AU-2020201205-A1,G06Q30/06,20200219,2020,AU
15,CHOI HYUN KYU,KR-20200004909-A,G06Q30/06,20200106,2020,KR
16,LIM SOON SEOP,KR-20200021489-A,G06Q30/06,20200210,2020,KR
17,CAINIAO SMART LOGISTICS HOLDING LTD,KR-20180097585-A,G06Q30/06,20161114,2016,KR
18,COUPANG CORP,KR-20170103074-A,G06Q30/06,20160302,2016,KR
19,IBM,US-2018033073-A1,G06Q30/06,20160728,2016,US
20,BEHR PROCESS CORP,US-2017161822-A1,G06Q30/06,20161118,2016,US
21,ALIBABA GROUP HOLDING LTD,KR-20180082570-A,G06Q30/06,20161104,2016,KR
22,GUANGZHOU JIAOYIMAO INFORMATION TECH CO LTD,WO-2017016265-A1,G06Q30/06,20160506,2016,WO
23,MASTERCARD INTERNATIONAL INC,US-2017132681-A1,G06Q30/06,20161021,2016,US
24,MAGIC LEAP INC,KR-20180021116-A,G06Q30/06,20160624,2016,KR
25,BON FRUIT,KR-20170084451-A,G06Q30/06,20160112,2016,KR
26,NOMURA RES INST LTD,WO-2017187538-A1,G06Q30/06,20160427,2016,WO
27,PREZZEE PTY LTD,US-2019005558-A1,G06Q30/06,20161130,2016,US
28,STAR COLLABO CO LTD,KR-20170126592-A,G06Q30/06,20160510,2016,KR
29,IBM,US-2018130115-A1,G06Q30/06,20161104,2016,US
30,MERCK SHARP & DOHME,MX-2018007706-A,G06Q30/06,20161115,2016,MX
31,AZUMA YOSHIKAZU,WO-2017195287-A1,G06Q30/06,20160511,2016,WO
32,QINGDAO HAIER DRUM WASHING MACHINE CO LTD,WO-2017097112-A1,G06Q30/06,20161124,2016,WO
33,BEIJING DIDI INFINITY TECHNOLOGY & DEV CO LTD,CN-108230077-A,G06Q30/06,20161221,2016,CN
34,WALMART APOLLO LLC,CN-108885731-A,G06Q30/06,20161027,2016,CN
35,DocCheck AG,EP-3091760-A1,G06Q30/06,20160506,2016,EP
36,ZHOU XIWEI,CN-107085801-A,G06Q30/06,20160215,2016,CN
37,RECRUIT HOLDINGS CO LTD,EP-3346453-A1,G06Q30/06,20160901,2016,EP
38,NIE DI,CN-105931103-A,G06Q30/06,20160421,2016,CN
39,DELL PRODUCTS LP,US-2017220645-A1,G06Q30/06,20160129,2016,US
40,GOOGLE INC,US-2017322920-A1,G06Q30/06,20160504,2016,US
41,METAIL LTD,US-2016217618-A1,G06Q30/06,20160121,2016,US
42,AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC,US-2018114263-A1,G06Q30/06,20161026,2016,US
43,KOREA UNIV OF TECH AND EDUCATION INDUSTRY-UNIV COOP FOUND,KR-101729947-B1,G06Q30/06,20161123,2016,KR
44,CHOROKCAPSULE INC,KR-20180041492-A,G06Q30/06,20161014,2016,KR
45,WAL MART STORES INC,US-2018144385-A1,G06Q30/06,20161118,2016,US
46,FUJI XEROX CO LTD,US-2017337586-A1,G06Q30/06,20161028,2016,US
47,PACCAR INC,US-2016132630-A1,G06Q30/06,20160115,2016,US
48,MASTERCARD INTERNATIONAL INC,SG-11201804938W-A,G06Q30/06,20161209,2016,SG
49,BEIJING DIDI INFINITY SCIENCE AND TECH LTD,WO-2016127917-A1,G06Q30/06,20160204,2016,WO
50,WON YOUNG HO,KR-20180010546-A,G06Q30/06,20160721,2016,KR
51,MASTERCARD INTERNATIONAL INC,EP-3329451-A4,G06Q30/06,20160728,2016,EP
52,CCCC SECOND HARBOUR ENG CO LTD,CN-106779903-A,G06Q30/06,20161117,2016,CN
53,BEIJING DIDI INFINITY TECHNOLOGY & DEV CO LTD,EP-3320514-A4,G06Q30/06,20161221,2016,EP
54,PAN CHONGGUANG,CN-106408365-A,G06Q30/06,20160824,2016,CN
55,WAL-MART STORES INC,GB-201621506-D0,G06Q30/06,20161216,2016,GB
56,FACEBOOK INC,CA-3033159-A1,G06Q30/06,20160816,2016,CA
57,TWIN HARBOR LABS LLC,US-2016275576-A1,G06Q30/06,20160527,2016,US
58,FORGROUP B V,NL-2016417-B1,G06Q30/06,20160311,2016,NL
59,WAYWEARABLE INC,KR-20180132179-A,G06Q30/06,20161110,2016,KR
60,IND TECH RES INST,US-2018137426-A1,G06Q30/06,20161215,2016,US
61,IUCF SUNMOON UNIV,KR-20180008995-A,G06Q30/06,20160715,2016,KR
62,NSK LTD,TW-201706940-A,G06Q30/06,20160328,2016,TW
63,ORANGE,WO-2016203318-A1,G06Q30/06,20160617,2016,WO
64,KIM HYOUNG CHEOL,KR-20180023729-A,G06Q30/06,20160826,2016,KR
65,SONG EU GENE,KR-101774500-B1,G06Q30/06,20161027,2016,KR
66,VENUENEXT INC,US-2018047092-A1,G06Q30/06,20160812,2016,US
67,RAKUTEN INC,WO-2017138088-A1,G06Q30/06,20160209,2016,WO
68,PANASONIC IP MAN CO LTD,WO-2016194275-A1,G06Q30/06,20160323,2016,WO
69,LALONDE BENOIT,WO-2016172785-A1,G06Q30/06,20160412,2016,WO
70,ORANGE,FR-3052284-A1,G06Q30/06,20160603,2016,FR
71,BOUL HAY FRANCES G AND HAY MARTIN A,GB-201613983-D0,G06Q30/06,20160816,2016,GB
72,WEBSOFT LTD,CA-3002548-A1,G06Q30/06,20161020,2016,CA
73,VALORBEC LP,US-2018268458-A1,G06Q30/06,20160105,2016,US
74,IBM,US-2017206591-A1,G06Q30/06,20160513,2016,US
75,FUJITSU LTD,US-2018183776-A1,G06Q30/06,20161222,2016,US
76,AT & T IP I LP,US-2016321738-A1,G06Q30/06,20160711,2016,US
77,NEXTEV USA INC,US-2018009321-A1,G06Q30/06,20161230,2016,US
78,MAGIC LEAP INC,US-2017039613-A1,G06Q30/06,20160624,2016,US
79,STREICH JUSTIN,US-2016260162-A1,G06Q30/06,20160308,2016,US
80,MONTICELLO ENTPR LLC,US-2016155174-A1,G06Q30/06,20160209,2016,US
81,UBER TECHNOLOGIES INC,US-2017345078-A1,G06Q30/06,20160524,2016,US
82,KIM JONG KAK,KR-20180024246-A,G06Q30/06,20160829,2016,KR
83,ONMIR CO LTD,KR-101696601-B1,G06Q30/06,20160614,2016,KR
84,MONTICELLO ENTPR LLC,US-10366429-B2,G06Q30/06,20160209,2016,US
85,HANSOLINTICUBE CO LTD,KR-20170090757-A,G06Q30/06,20160129,2016,KR
86,LEE YE SL,KR-20170085260-A,G06Q30/06,20160114,2016,KR
87,TRUSPER INC,WO-2017019698-A1,G06Q30/06,20160726,2016,WO
88,WON YOUNG HO,KR-20180009592-A,G06Q30/06,20160719,2016,KR
89,MASTERCARD INTERNATIONAL INC,WO-2016204918-A1,G06Q30/06,20160518,2016,WO
90,WAL-MART STORES INC,WO-2017003874-A1,G06Q30/06,20160624,2016,WO
91,ZHEJIANG HANSHOW TECH CO LTD,CN-107784331-A,G06Q30/06,20160824,2016,CN
92,HITACHI LTD,CN-107016590-A,G06Q30/06,20161117,2016,CN
93,YOKOGAWA ELECTRIC CORP,JP-2018092238-A,G06Q30/06,20161130,2016,JP
94,SCHRIMPF WERNER,DE-102016001872-A1,G06Q30/06,20160217,2016,DE
95,WEBSOFT LTD,AU-2016343174-A1,G06Q30/06,20161020,2016,AU
96,SONY CORP,US-2016180445-A1,G06Q30/06,20160302,2016,US
97,NETSUITE INC,US-2017236182-A1,G06Q30/06,20160324,2016,US
98,COUPANG CORP,KR-101756394-B1,G06Q30/06,20160129,2016,KR
99,CJ E&M CORP,KR-101790312-B1,G06Q30/06,20160722,2016,KR
100,FELDER CHAIM,WO-2017096003-A3,G06Q30/06,20161201,2016,WO
101,UNIVERSAL ENTERTAINMENT CORP,US-2017091846-A1,G06Q30/06,20160916,2016,US
102,ESMAILZADEH ARASH,US-2016379291-A1,G06Q30/06,20160620,2016,US
103,KOREA ELECTRONICS ASS,KR-20180025078-A,G06Q30/06,20161011,2016,KR
104,RIGHTSIDE DIGITAL TECH CO LTD,CN-106097590-A,G06Q30/06,20160617,2016,CN
105,ITRON INC,HK-1221790-A1,G06Q30/06,20160816,2016,HK
106,BOVEDA INC,CA-2988394-A1,G06Q30/06,20160606,2016,CA
107,BEIJING XIAODU INF TECH CO LTD,CN-107093121-A,G06Q30/06,20161130,2016,CN
108,NEXTEV USA INC,US-2018012198-A1,G06Q30/06,20161229,2016,US
109,THUMBTACK INC,US-2017236180-A1,G06Q30/06,20161017,2016,US
110,PAYPAL INC,US-2018174222-A1,G06Q30/06,20161216,2016,US
111,KIM JUM DU,KR-101839490-B1,G06Q30/06,20161101,2016,KR
112,WEPNP,KR-20180049743-A,G06Q30/06,20161103,2016,KR
113,CENTUMSOFT INC,KR-20180014577-A,G06Q30/06,20160801,2016,KR
114,TENDYRON CORP,US-2018357466-A1,G06Q30/06,20161129,2016,US
115,KIM JONG JIN,KR-101731591-B1,G06Q30/06,20160805,2016,KR
116,SERVICEPLAN GRUPPE FÜR INNOVATIVE KOMMUNIKATION GMBH & CO KG,WO-2016189155-A1,G06Q30/06,20160527,2016,WO
117,LIM JONG JIN,KR-20170098665-A,G06Q30/06,20160222,2016,KR
118,BOE TECHNOLOGY GROUP CO LTD,CN-108022121-A,G06Q30/06,20161028,2016,CN
119,SAMSUNG ELECTRONICS CO LTD,EP-3185193-A1,G06Q30/06,20161214,2016,EP
