imdb_id,Biography,Comedy,Crime,Drama,Romance,Mystery_Thriller_Horror,Sci-Fi_Fantasy,Family_Animation,Action_Adventure,History_War,Others
tt0035423,0,1,0,0,1,0,1,0,0,0,0
tt0080339,0,1,0,0,0,0,0,0,0,0,0
tt0080453,0,0,0,1,1,0,0,0,1,0,0
tt0080455,0,1,1,0,0,0,0,0,1,0,1
tt0080487,0,1,0,0,0,0,0,0,0,0,1
tt0080492,1,1,0,0,0,0,0,0,0,0,1
tt0080549,1,0,0,1,0,0,0,0,0,0,1
tt0080661,0,0,0,0,1,1,0,0,0,0,0
tt0080678,1,0,0,1,0,0,0,0,0,0,0
tt0080684,0,0,0,0,0,0,1,0,1,0,0
tt0080749,0,0,0,0,0,1,1,0,0,0,0
tt0080771,0,1,0,0,0,0,1,0,0,0,0
tt0080855,0,0,0,1,0,0,0,0,1,0,1
tt0081071,0,0,0,0,0,0,0,0,0,0,1
tt0081283,0,0,0,1,0,0,0,0,0,0,0
tt0081375,0,1,0,0,0,0,0,0,0,1,0
tt0081398,1,0,0,1,0,0,0,0,0,0,1
tt0081505,0,0,0,1,0,1,0,0,0,0,0
tt0081534,0,0,0,1,1,0,1,0,0,0,0
tt0081573,0,0,0,0,1,0,1,0,1,0,0
tt0082085,0,0,0,0,0,1,0,0,0,0,0
tt0082122,0,0,1,1,0,0,0,0,0,0,0
tt0082198,0,0,0,0,0,0,1,0,1,0,0
tt0082288,0,0,0,0,0,0,1,0,1,0,0
tt0082405,0,1,0,1,0,0,0,0,0,0,0
tt0082418,0,0,0,0,0,1,0,0,0,0,0
tt0082467,0,0,0,0,0,1,0,0,0,0,0
tt0082507,0,1,0,0,0,0,1,0,0,0,0
tt0082517,0,1,0,0,0,0,0,0,0,0,0
tt0082533,0,0,0,0,0,1,0,0,0,0,0
tt0082648,0,0,0,0,0,0,0,0,1,0,1
tt0082763,0,1,0,0,0,0,1,0,0,0,0
tt0082766,1,0,0,1,0,0,0,0,0,0,0
tt0082817,0,0,1,0,0,1,0,0,1,0,0
tt0082934,0,0,1,1,1,1,0,0,0,0,0
tt0082958,0,0,1,0,0,1,0,0,1,0,0
tt0082971,0,0,0,0,0,0,0,0,1,0,0
tt0082979,1,0,0,1,1,0,0,0,0,1,0
tt0083001,0,0,0,0,0,1,0,0,1,0,0
tt0083113,0,0,0,0,0,1,0,0,1,0,0
tt0083131,0,1,0,0,0,0,0,0,1,1,0
tt0083254,0,1,0,0,0,0,0,0,0,0,0
tt0083630,0,0,0,0,0,0,1,0,1,0,0
tt0083642,0,1,0,0,0,0,0,0,0,0,1
tt0083658,0,0,0,0,0,1,1,0,0,0,0
tt0083722,0,0,0,0,0,1,1,0,0,0,0
tt0083767,0,1,0,0,0,1,1,0,0,0,0
tt0083833,0,1,0,1,0,0,0,0,0,0,0
tt0083866,0,0,0,0,0,0,1,1,0,0,0
tt0083907,0,0,0,0,0,1,1,0,0,0,0
tt0083929,0,1,0,1,0,0,0,0,0,0,0
tt0083943,0,0,0,0,0,1,0,0,1,0,0
tt0083944,0,0,0,1,0,0,0,0,1,0,0
tt0083972,0,0,0,0,0,1,0,0,0,0,0
tt0084171,0,1,0,0,0,0,1,0,0,0,1
tt0084316,0,0,0,0,0,0,1,0,1,0,0
tt0084516,0,0,0,0,0,1,1,0,0,0,0
tt0084726,0,0,0,0,0,0,1,0,1,0,0
tt0084787,0,0,0,0,0,1,1,0,0,0,0
tt0084805,0,1,0,1,1,0,0,0,0,0,0
tt0084855,0,0,0,1,0,0,0,0,0,0,0
tt0085334,0,1,0,0,0,0,0,1,0,0,0
tt0085407,0,0,0,0,0,1,1,0,0,0,0
tt0085549,0,0,0,1,1,0,0,0,0,0,1
tt0085636,0,0,0,0,0,1,1,0,0,0,0
tt0085862,0,0,1,1,0,1,0,0,1,0,1
tt0085871,0,0,0,1,1,0,0,0,0,0,0
tt0085995,0,1,0,0,0,0,0,0,1,0,0
tt0086066,0,0,1,1,0,0,0,0,0,0,0
tt0086190,0,0,0,0,0,0,1,0,1,0,0
tt0086197,0,0,0,1,0,0,0,0,1,1,0
tt0086250,0,0,1,1,0,0,0,0,0,0,0
tt0086465,0,1,0,0,0,0,0,0,0,0,0
tt0086491,0,0,0,0,0,1,1,0,0,0,0
tt0086567,0,0,0,0,0,1,1,0,0,0,0
tt0086879,1,0,0,1,0,0,0,0,0,1,1
tt0086960,0,1,1,0,0,0,0,0,1,0,0
tt0086984,0,0,0,0,0,1,0,0,0,0,0
tt0087015,0,0,0,0,0,1,1,0,0,0,0
tt0087078,0,0,0,0,0,0,1,0,1,0,0
tt0087089,0,0,1,1,0,0,0,0,0,0,1
tt0087182,0,0,0,0,0,0,1,0,1,0,0
tt0087262,0,0,0,0,0,1,1,0,1,0,0
tt0087277,0,0,0,1,1,0,0,0,0,0,1
tt0087298,0,0,0,0,0,1,0,0,0,0,0
tt0087363,0,1,0,0,0,1,1,0,0,0,0
tt0087451,0,1,0,0,1,0,1,0,1,0,0
tt0087469,0,0,0,0,0,0,0,0,1,0,0
tt0087538,0,0,0,1,0,0,0,1,1,0,1
tt0087800,0,0,0,0,0,1,0,0,0,0,0
tt0087928,0,1,0,0,0,0,0,0,0,0,0
tt0087985,0,0,0,1,0,0,0,0,1,1,0
tt0087995,0,1,1,0,0,1,1,0,0,0,0
tt0088161,0,1,0,0,1,0,1,0,0,0,0
tt0088170,0,0,0,0,0,0,1,0,1,0,0
tt0088763,0,1,0,0,0,0,1,0,1,0,0
tt0088939,0,0,0,1,0,0,0,0,0,0,0
tt0088944,0,0,0,0,0,1,0,0,1,0,0
tt0088993,0,0,0,0,0,1,0,0,0,0,0
tt0089173,0,0,0,0,0,1,0,0,0,0,0
tt0089348,0,0,0,0,0,1,0,0,1,0,0
tt0089444,0,1,0,1,0,0,0,0,0,0,1
tt0089457,0,1,0,1,0,0,1,0,1,0,0
tt0089461,0,1,0,1,0,0,0,0,1,0,1
tt0089686,0,0,0,0,0,1,1,0,0,0,0
tt0089755,1,0,0,1,1,0,0,0,0,0,0
tt0089767,0,0,0,0,0,0,0,0,0,0,1
tt0089880,0,0,0,0,0,1,0,0,1,1,0
tt0089907,0,1,0,0,0,1,1,0,0,0,0
tt0090022,0,0,1,1,0,0,0,0,1,0,1
tt0090190,0,1,0,0,0,1,1,0,1,0,0
tt0090329,0,0,1,1,1,1,0,0,0,0,0
tt0090357,0,0,0,0,0,1,1,0,1,0,0
tt0090605,0,0,0,0,0,0,1,0,1,0,0
tt0090655,0,0,0,0,0,1,0,0,0,0,0
tt0090728,0,1,0,0,0,0,1,0,1,0,0
tt0090848,0,0,0,1,0,0,1,0,1,0,0
tt0090863,0,0,0,1,0,0,0,0,0,0,1
tt0091080,0,0,0,0,0,1,0,0,0,0,0
tt0091129,0,1,0,0,0,1,1,0,1,0,0
tt0091225,0,1,0,0,1,0,1,0,1,0,0
tt0091276,0,0,0,0,0,1,1,0,0,0,0
tt0091396,0,1,1,0,1,0,0,0,0,0,0
tt0091419,0,1,0,0,0,1,1,0,0,0,1
tt0091635,0,0,0,1,1,0,0,0,0,0,0
tt0091671,0,0,0,1,0,1,0,0,1,0,0
tt0091738,0,1,0,1,1,0,1,0,0,0,0
tt0091860,0,0,1,1,0,0,0,0,0,0,0
tt0091939,0,1,0,0,1,0,0,0,0,0,0
tt0092005,0,0,0,1,0,0,0,0,1,0,0
tt0092007,0,1,0,0,0,0,1,0,1,0,0
tt0092076,0,1,0,0,0,1,0,0,0,0,0
tt0092099,0,0,0,1,1,0,0,0,1,0,0
tt0092240,0,0,0,0,1,1,1,0,1,0,0
tt0092548,0,0,0,1,0,0,0,0,1,0,0
tt0092615,0,0,0,0,0,0,1,0,1,0,0
tt0092644,0,1,1,0,0,1,0,0,1,0,0
tt0092675,1,0,0,1,0,0,0,0,1,0,1
tt0092695,0,1,0,0,0,0,1,1,1,0,1
tt0092796,0,1,0,0,0,1,1,0,0,0,0
tt0092991,0,1,0,0,0,1,1,0,0,0,0
tt0093010,0,0,0,1,1,1,0,0,0,0,0
tt0093105,1,1,0,1,0,0,0,0,0,1,0
tt0093200,0,1,0,0,0,0,0,0,0,0,0
tt0093278,0,1,0,0,0,1,0,0,1,0,1
tt0093300,0,0,0,0,0,1,0,0,1,0,0
tt0093378,1,0,0,1,0,0,0,0,0,0,1
tt0093437,0,1,0,0,0,1,1,0,0,0,0
tt0093483,0,0,0,1,0,1,0,0,1,0,0
tt0093629,0,0,0,0,0,1,1,0,1,0,0
tt0093773,0,0,0,0,0,1,1,0,1,0,0
tt0093779,0,0,0,0,1,0,1,1,1,0,0
tt0093818,0,1,0,0,0,0,0,0,0,0,0
tt0093894,0,0,1,0,0,1,1,0,1,0,0
tt0094012,0,1,0,0,0,0,1,0,1,0,0
tt0094118,0,1,0,0,0,0,1,0,0,0,0
tt0094137,0,1,0,1,0,0,0,1,0,0,0
tt0094226,0,0,1,1,0,1,0,0,0,0,0
tt0094291,0,0,1,1,0,0,0,0,0,0,0
tt0094612,0,1,1,0,0,1,0,0,1,0,0
tt0094721,0,1,0,0,0,0,1,0,0,0,0
tt0094737,0,1,0,1,1,0,1,1,0,0,0
tt0094799,0,0,0,1,0,0,0,0,0,0,0
tt0094862,0,0,0,0,0,1,1,0,0,0,0
tt0094947,0,0,0,1,1,0,0,0,0,0,0
tt0095016,0,0,0,0,0,1,0,0,1,0,0
tt0095179,0,0,0,0,0,1,0,0,0,0,0
tt0095271,0,0,0,0,0,1,0,0,0,0,0
tt0095484,0,0,0,0,0,1,1,0,0,0,0
tt0095489,0,0,0,0,0,0,0,1,1,0,0
tt0095497,0,0,0,1,0,0,0,0,0,0,0
tt0095631,0,1,1,0,0,1,0,0,1,0,0
tt0095687,0,1,0,0,1,0,1,0,0,0,0
tt0095690,0,1,0,1,1,0,0,0,0,0,0
tt0095742,0,0,0,0,0,1,1,0,0,0,0
tt0095863,0,0,0,0,0,1,1,0,1,0,0
tt0095889,0,0,0,0,0,1,0,0,0,0,0
tt0095904,0,0,1,1,0,1,0,0,0,0,0
tt0095953,0,0,0,1,0,0,0,0,0,0,0
tt0095956,0,0,0,0,0,1,0,0,1,1,0
tt0096054,0,1,0,1,0,0,0,0,0,0,1
tt0096061,0,1,0,1,0,0,1,0,0,0,0
tt0096219,0,0,0,1,0,0,0,0,0,0,0
tt0096256,0,0,0,0,0,1,1,0,0,0,0
tt0096320,0,1,1,0,0,0,0,0,0,0,0
tt0096487,0,0,1,1,0,1,0,0,1,0,1
tt0096754,0,0,0,1,0,1,1,0,1,0,0
tt0096874,0,1,0,0,0,0,1,0,1,0,0
tt0096895,0,0,0,0,0,0,0,0,1,0,0
tt0096928,0,1,0,0,0,0,1,0,1,0,1
tt0096933,0,0,1,0,0,1,0,0,1,0,0
tt0096969,1,0,0,1,0,0,0,0,0,1,0
tt0097165,0,1,0,1,0,0,0,0,0,0,0
tt0097216,0,0,0,1,0,0,0,0,0,0,0
tt0097239,0,1,0,1,0,0,0,1,0,0,0
tt0097388,0,0,0,0,0,1,0,0,1,0,0
tt0097441,0,0,0,1,0,0,0,0,0,1,0
tt0097474,0,0,0,0,0,1,0,0,0,0,0
tt0097576,0,0,0,0,0,0,1,0,1,0,0
tt0097815,0,1,0,0,0,0,0,0,0,0,1
tt0097965,0,1,0,1,1,0,0,0,0,0,0
tt0097981,0,0,0,0,1,1,1,0,0,0,0
tt0098084,0,0,0,0,0,1,1,0,0,0,0
tt0098206,0,0,0,0,0,1,0,0,1,0,0
tt0098213,0,0,0,0,0,0,0,0,0,0,1
tt0098273,0,0,1,1,0,1,0,0,0,0,0
tt0098382,0,0,0,0,0,1,1,0,1,0,0
tt0098439,0,1,1,0,0,1,0,0,1,0,0
tt0098503,0,1,0,0,0,1,1,0,1,0,0
tt0098519,0,1,0,0,0,0,0,0,1,0,0
tt0098546,0,1,0,1,0,0,0,0,0,0,0
tt0098622,0,0,0,0,0,1,1,0,1,0,0
tt0098625,0,1,1,0,0,0,0,0,0,0,0
tt0098635,0,1,0,1,1,0,0,0,0,0,0
tt0098724,0,0,0,1,0,0,0,0,0,0,0
tt0098987,0,1,1,0,0,1,0,0,1,0,1
tt0099052,0,1,0,0,0,1,1,0,0,0,0
tt0099088,0,1,0,0,0,0,1,0,1,0,1
tt0099253,0,0,0,0,0,1,1,0,0,0,0
tt0099348,0,0,0,1,0,0,0,0,1,0,1
tt0099371,0,0,0,1,0,0,0,0,1,0,1
tt0099422,0,1,1,0,1,1,0,0,1,0,1
tt0099423,0,0,0,0,0,1,0,0,1,0,0
tt0099487,0,0,0,0,1,0,1,0,0,0,0
tt0099582,0,0,0,1,0,1,1,0,0,0,0
tt0099587,0,0,0,1,0,1,0,0,1,1,0
tt0099653,0,0,0,1,1,1,1,0,0,0,0
tt0099674,0,0,1,1,0,0,0,0,0,0,0
tt0099685,1,0,1,1,0,0,0,0,0,0,0
tt0099700,0,1,0,0,0,1,1,0,0,0,0
tt0099785,0,1,0,0,0,0,0,1,0,0,0
tt0099810,0,0,0,0,0,1,0,0,1,0,0
tt0099938,0,1,1,0,0,0,0,0,1,0,0
tt0100142,0,1,0,1,1,0,0,0,0,0,0
tt0100146,0,0,0,0,0,1,0,0,0,0,0
tt0100168,0,0,0,1,1,0,0,0,0,0,1
tt0100403,0,0,0,0,0,1,1,0,1,0,0
tt0100405,0,1,0,0,1,0,0,0,0,0,0
tt0100666,0,1,0,0,0,0,1,0,1,0,0
tt0100802,0,0,0,0,0,0,1,0,1,0,0
tt0100814,0,1,0,0,0,1,1,0,0,0,0
tt0101272,0,1,0,0,0,0,1,0,0,0,0
tt0101412,0,0,0,0,0,0,1,0,1,0,0
tt0101452,0,1,0,0,0,0,1,0,1,0,1
tt0101507,0,0,1,1,0,0,0,0,0,0,0
tt0101540,0,0,1,0,0,1,0,0,0,0,0
tt0101761,1,0,0,1,0,0,0,0,0,0,1
tt0101764,0,0,1,0,0,0,0,0,1,0,0
tt0101889,0,1,0,1,0,0,1,0,0,0,0
tt0101917,0,1,0,0,0,1,1,0,0,0,0
tt0102005,0,0,1,1,0,1,0,0,1,0,1
tt0102057,0,1,0,0,0,0,1,1,1,0,0
tt0102065,0,1,0,1,1,0,0,0,0,0,1
tt0102070,0,1,0,0,0,0,0,0,1,0,0
tt0102307,0,0,1,1,0,0,0,0,0,0,0
tt0102492,0,1,0,1,1,0,0,1,0,0,0
tt0102494,0,0,0,1,0,0,0,0,0,0,0
tt0102510,0,1,1,0,0,0,0,0,0,0,0
tt0102713,0,0,0,1,1,0,0,0,0,0,0
tt0102782,0,0,0,1,1,0,0,0,1,0,0
tt0102798,0,0,0,1,1,0,0,0,1,0,0
tt0102915,0,1,1,0,0,1,0,0,1,0,0
tt0102926,0,0,1,1,0,1,0,0,0,0,0
tt0102943,0,1,0,1,0,0,0,0,0,0,0
tt0102975,0,0,0,0,0,1,1,0,1,0,0
tt0102984,0,0,1,1,0,1,0,0,1,0,0
tt0102989,0,0,1,1,0,0,0,0,0,0,0
tt0103060,0,1,0,0,0,0,1,1,1,0,0
tt0103064,0,0,0,0,0,0,1,0,1,0,0
tt0103247,0,0,0,1,0,0,0,0,1,0,0
tt0103639,0,1,0,0,1,0,1,1,1,0,1
tt0103644,0,0,0,0,0,1,1,0,1,0,0
tt0103776,0,0,0,0,0,0,0,0,1,0,0
tt0103855,0,0,0,1,1,0,0,0,1,0,1
