,num_critic_for_reviews,gross,num_voted_users,facenumber_in_poster,num_user_for_reviews,content_rating,imdb_score,Biography,Comedy,Crime,Drama,Romance,Mystery_Thriller_Horror,Sci-Fi_Fantasy,Family_Animation,Action_Adventure,History_War,Others,director_rank,actor1_rank,actor2_rank,actor3_rank,gross_budget_ratio,log_duration,log_cast_total_facebook_likes,log_director_facebook_likes,log_budget,log_gross_budget_ratio,log_movie_facebook_likes,log_actor_1_facebook_likes,log_actor_2_facebook_likes,log_actor_3_facebook_likes
0,125.0,47095453.0,64595,1.0,316.0,PG-13,6.4,0,1,0,0,1,0,1,0,0,0,0,8,6,3,4,0.9811552708333332,4.812184355372417,10.008252891111209,6.100318952020064,17.686711568872166,-0.019024553823866672,6.100318952020064,9.903487552536127,6.907755278982137,6.710523109452428
1,134.0,83400000.0,160281,0.0,427.0,PG,7.8,0,1,0,0,0,0,0,0,0,0,0,8,2,3,4,23.82857142857143,4.477336814478207,7.9105906122564775,4.6443908991413725,15.068273526459642,3.170885340869333,4.6443908991413725,6.4425401664681985,6.354370040797351,5.762051382780177
2,36.0,58853106.0,50125,0.0,140.0,R,5.7,0,0,0,1,1,0,0,0,1,0,0,7,3,3,3,13.078467999999999,4.6443908991413725,7.415776975415394,4.7535901911063645,15.319587954740548,2.5709672137870765,4.7535901911063645,6.907755278982137,6.236369590203704,4.418840607796598
3,125.0,54200000.0,142448,1.0,319.0,R,7.9,0,1,1,0,0,0,0,0,1,0,1,8,3,3,4,2.0074074074074075,4.997212273764115,7.850103545175582,6.467698726104354,17.111347423968603,0.6968440424412715,6.467698726104354,6.907755278982137,6.695798917058491,5.786897381366708
4,71.0,39800000.0,81599,3.0,250.0,R,7.4,0,1,0,0,0,0,0,0,0,0,1,7,7,3,5,6.633333333333334,4.584967478670572,9.610524895640422,9.305650551780507,15.60727002719233,1.892107443062337,9.305650551780507,9.472704636443673,6.35088571671474,6.182084906716632
5,26.0,2000000.0,2998,0.0,74.0,PG,4.5,1,1,0,0,0,0,0,0,0,0,1,5,3,2,3,0.1,4.820281565605037,7.2875606403097235,3.7376696182833684,16.811242831518264,-2.3025850929940455,3.7376696182833684,6.68586094706836,5.159055299214529,5.081404364984463
6,46.0,79900000.0,12974,0.0,84.0,PG,7.5,1,0,0,1,0,0,0,0,0,0,1,7,3,4,4,1.5465167587733946,4.820281565605037,7.888709524182015,5.0106352940962555,17.760281261070663,0.4360051496658397,5.0106352940962555,6.773080375655535,6.704414354964107,6.349138991379798
7,121.0,31899000.0,23986,0.0,201.0,X,7.1,0,0,0,0,1,1,0,0,0,0,0,8,2,3,4,4.9075384615384605,4.6443908991413725,7.80057265467065,0.0,15.687312734865866,1.5907724844354671,0.0,6.625392368007956,6.340359303727752,6.248042874508429
8,117.0,26010864.0,161972,1.0,356.0,PG,8.2,1,0,0,1,0,0,0,0,0,0,0,8,6,4,5,5.2021728,4.820281565605037,9.537050831395442,0.0,15.424948470398375,1.649076384467834,0.0,9.392661928770137,6.625392368007956,6.113682179832232
9,223.0,290158751.0,837759,0.0,900.0,PG,8.8,0,0,0,0,0,0,1,0,1,0,0,8,7,3,4,16.119930611111116,4.844187086458591,9.444858981311897,6.78332520060396,16.70588231586044,2.7800564325475747,6.78332520060396,9.305650551780507,6.222576268071369,6.089044875446846
10,212.0,21378000.0,46492,0.0,335.0,R,6.8,0,0,0,0,0,1,1,0,0,0,0,7,4,4,4,21.378,4.48863636973214,8.492285555710053,0.0,13.815510557964274,3.062362355851754,0.0,7.600902459542082,6.716594773520978,6.406879986069314
11,102.0,1500000.0,9830,0.0,189.0,R,6.8,0,0,0,1,0,0,0,0,1,0,1,7,6,3,5,0.03409090909090909,5.783825182329737,9.564863001346772,6.248042874508429,17.599700191882537,-3.378724525810097,6.248042874508429,9.392661928770137,6.744059186311348,6.519147287940395
12,62.0,54800000.0,35130,3.0,283.0,R,7.8,0,0,0,1,0,0,0,0,0,0,0,8,3,3,6,9.133333333333333,4.820281565605037,8.541300266759471,0.0,15.60727002719233,2.211930724725915,0.0,7.600902459542082,6.315358001522335,6.282266746896006
13,25.0,69800000.0,18140,1.0,60.0,R,6.1,0,1,0,0,0,0,0,0,0,1,0,7,3,4,4,6.98,4.6913478822291435,7.791109510610028,1.791759469228055,16.11809565095832,1.9430489167742813,1.791759469228055,6.907755278982137,6.61338421837956,5.602118820879701
15,32.0,7000000.0,2933,0.0,70.0,PG,4.7,0,0,0,1,0,1,0,0,1,0,0,5,2,3,5,0.19444444444444445,4.77912349311153,7.5406215286571525,1.6094379124341003,17.399029496420383,-1.6376087894007967,1.6094379124341003,6.255750041753367,5.918893854273146,5.517452896464707
17,121.0,108200000.0,76331,4.0,269.0,PG,6.8,0,0,0,0,1,0,1,0,1,0,0,6,3,3,5,2.0037037037037035,4.7535901911063645,7.97522083865341,3.784189633918261,17.80449460452855,0.6949973198481066,3.784189633918261,6.385194398997726,6.1463292576688975,6.040254711277414
18,139.0,42365600.0,45890,0.0,177.0,PG,7.0,0,1,0,0,0,0,1,0,1,0,0,8,2,3,5,8.47312,4.634728988229636,7.912056888179006,0.0,15.424948470398375,2.1368987997502877,0.0,6.444131256700441,6.329720905522696,6.222576268071369
19,96.0,11433134.0,168203,0.0,426.0,R,8.4,0,0,0,1,0,1,0,0,1,1,0,8,2,1,2,0.8166524285714286,5.680172609017068,6.150602768446279,5.517452896464707,16.454567887579532,-0.20254169866578733,5.517452896464707,5.8916442118257715,3.044522437723423,2.8903717578961645
20,90.0,58800000.0,40511,0.0,213.0,PG,7.2,1,0,0,1,0,0,0,0,0,0,1,7,2,3,5,10.690909090909091,4.8283137373023015,7.409136443920128,3.828641396489095,15.520258650202699,2.369393762666156,3.828641396489095,5.908082938168931,5.713732805509369,5.517452896464707
21,166.0,37567440.0,113068,0.0,337.0,R,6.9,0,0,0,0,0,0,1,0,1,0,0,7,3,4,4,1.8783720000000002,4.859812404361672,7.6128310304073565,6.148468295917647,16.811242831518264,0.6304054442373035,6.148468295917647,6.823286122355687,6.53813982376767,5.209486152841421
22,60.0,6000000.0,10832,0.0,102.0,PG,6.7,0,0,0,0,0,0,1,0,1,0,0,7,3,2,3,0.3333333333333333,4.68213122712422,7.141245122350491,3.2188758248682006,16.70588231586044,-1.0986122886681098,3.2188758248682006,6.907755278982137,4.74493212836325,4.543294782270004
24,201.0,25244700.0,91017,1.0,284.0,R,7.2,0,0,0,0,0,0,1,0,1,0,0,7,3,3,4,4.20745,4.663439094112067,7.727535110475448,0.0,15.60727002719233,1.4368567634709188,0.0,6.60934924316738,6.400257445308821,5.942799375126701
25,112.0,62300000.0,72085,1.0,263.0,PG,6.8,0,0,0,0,0,1,0,0,1,0,0,7,3,3,4,2.225,4.844187086458591,7.658227526161352,3.828641396489095,17.14771506813948,0.7997569156182036,3.828641396489095,6.738152494595957,5.996452088619021,5.497168225293202
26,242.0,19100000.0,39690,0.0,394.0,R,6.1,0,0,0,0,0,1,0,0,0,0,0,6,2,2,3,15.28,4.465908118654584,6.561030665896573,3.8918202981106265,14.038654109278484,2.7265447837383743,3.8918202981106265,5.733341276897746,4.795790545596741,4.07753744390572
27,161.0,17986000.0,22773,0.0,195.0,R,6.6,0,0,0,0,0,1,0,0,0,0,0,7,3,3,5,17.986,4.51085950651685,8.39795910349254,5.659482215759621,13.815510557964274,2.8895936774923237,5.659482215759621,6.907755278982137,6.71295620067707,6.586171654854675
28,25.0,8000000.0,1400,0.0,41.0,PG,5.0,0,0,0,0,0,0,0,0,1,0,1,5,2,3,3,0.4444444444444444,4.584967478670572,6.831953565565855,3.332204510175204,16.70588231586044,-0.8109302162163288,3.332204510175204,5.918893854273146,5.568344503761097,4.624972813284271
29,177.0,9003011.0,133966,0.0,294.0,R,7.6,0,0,0,0,0,1,1,0,1,0,0,7,2,3,2,4.5015055,4.465908118654584,7.241366283322318,6.620073206530356,14.508657738524219,1.5044118963805986,6.620073206530356,6.61338421837956,6.274762021241939,3.713572066704308
30,234.0,242374454.0,661017,1.0,771.0,PG,8.5,0,0,0,0,0,0,0,0,1,0,0,9,7,3,6,13.465247444444444,4.74493212836325,9.465447598495786,9.546812608597396,16.70588231586044,2.6001121029565324,9.546812608597396,9.305650551780507,6.663132695990803,6.1903154058531475
31,50.0,2000000.0,1275,0.0,27.0,PG,6.4,0,0,0,0,0,1,0,0,1,0,0,7,2,3,3,0.1176470588235294,4.624972813284271,7.140453043101158,1.3862943611198906,16.64872390202049,-2.1400661634962708,1.3862943611198906,6.452048954437226,6.285998094508865,4.0943445622221
