movieLabel,gross,cost,publicationYear,IMDBid
Wanted,341400000,,2008,tt0493464
Skyfall,1108561013,,2012,tt1074638
The Last Airbender,319700000,,2010,tt0938283
The Day After Tomorrow,542771772,,2004,tt0319262
National Lampoon's Van Wilder,38275483,,2002,tt0283111
GoldenEye,352200000,,1995,tt0113189
Life is Beautiful,229163264,,1997,tt0118799
Godzilla,379014294,,1998,tt0120685
Liar Liar,302700000,,1997,tt0119528
Live Free or Die Hard,383500000,,2007,tt0337978
Men in Black,589390539,,1997,tt0119654
The Passion of the Christ,610061517,,2004,tt0335345
Ghost Rider,228700000,,2007,tt0259324
Star Wars: Episode III – Revenge of the Sith,850035635,,2005,tt0121766
Michael Jackson's This Is It,261200000,,2009,tt1477715
The Twilight Saga: Breaking Dawn – Part 2,829746820,,2012,tt1673434
The Twilight Saga: Breaking Dawn – Part 1,712205856,,2011,tt1324999
The English Patient,232000000,,1996,tt0116209
Cruel Intentions,75902208,,1999,tt0139134
American Beauty,356296601,,1999,tt0169547
Indiana Jones and the Temple of Doom,333100000,,1984,tt0087469
Black Swan,329400000,,2010,tt0947798
Star Wars Episode VI: Return of the Jedi,475100000,,1983,tt0086190
Spider-Man 3,890871626,,2007,tt0413300
Shakespeare in Love,289300000,,1998,tt0138097
The Sixth Sense,672806292,,1999,tt0167404
The Curious Case of Benjamin Button,333900000,,2008,tt0421715
Million Dollar Baby,216800000,,2004,tt0405159
Dirty Rotten Scoundrels,42000000,,1988,tt0095031
Indiana Jones and the Last Crusade,474200000,,1989,tt0097576
Borat,261572744,,2006,tt0443453
The Day the Earth Stood Still,233093859,,2008,tt0970416
Rain Man,354800000,,1988,tt0095953
Mamma Mia!,609896805,,2008,tt0795421
The Matrix Reloaded,741846459,,2003,tt0234215
Spider-Man 2,783766341,,2004,tt0316654
Transformers: Revenge of the Fallen,836303693,,2009,tt1055369
Clash of the Titans,493200000,,2010,tt0800320
Kramer vs. Kramer,106000000,,1980,tt0079417
Good Will Hunting,225900000,,1997,tt0119217
Pearl Harbor,449200000,,2001,tt0213149
8 Mile,242900000,,2002,tt0298203
The Wolverine,414800000,,2013,tt1430132
Sherlock Holmes,524028679,,2009,tt0988045
"I, Robot",347200000,,2004,tt0343818
Notting Hill,363889678,,1999,tt0125439
Forgetting Sarah Marshall,105173115,,2008,tt0800039
War of the Worlds,591745532,,2005,tt0407304
Halloween III: Season of the Witch,14400000,,1982,tt0085636
Philadelphia,206700000,,1993,tt0107818
The Blind Side,975200000,,2009,tt0878804
Space Jam,230400000,,1996,tt0117705
Tomorrow Never Dies,333000000,,1997,tt0120347
Ne Zha,701878927,,2019,tt10627720
Juno,231400000,,2007,tt0467406
Harry Potter and the Chamber of Secrets,879465594,,2002,tt0295297
Independence Day,817400891,,1996,tt0116629
The Bourne Identity,214034224,,2002,tt0258463
Die Hard 2,240031094,,1990,tt0099423
X-Men,296300000,,2000,tt0120903
Dead Poets Society,235860116,,1989,tt0097165
The Fifth Element,263900000,,1997,tt0119116
Die Hard with a Vengeance,366100000,,1995,tt0112864
Sleepless in Seattle,227927165,,1993,tt0108160
The Bourne Ultimatum,442800000,,2007,tt0440963
Speed,350400000,,1994,tt0111257
The Proposal,317400000,,2009,tt1041829
A Few Good Men,243200000,,1992,tt0104257
Zatōichi,32300000,,2003,tt0363226
Life of Pi,609016565,,2012,tt0454876
The Fugitive,368900000,,1993,tt0106977
Men in Black II,441818803,,2002,tt0120912
The Bourne Supremacy,288500000,,2004,tt0372183
The King's Spech,414200000,,2010,tt1504320
Twilight,393600000,,2008,tt1099212
Top Gun,356800000,,1986,tt0092099
Collateral,217800000,,2004,tt0369339
Vanilla Sky,203400000,,2001,tt0259711
Dancer in the Dark,45584036,,2000,tt0168629
Dune,30925690,,1984,tt0087182
Batman,411300000,,1989,tt0096895
The Twilight Saga: New Moon,711020081,,2009,tt1259571
The Piano,40157856,,1993,tt0107822
Grown Ups,271400000,,2010,tt1375670
Monsieur Ibrahim,11600000,,2003,tt0329388
Dr. Seuss' How the Grinch Stole Christmas,345100000,,2000,tt0170016
Fun with Dick and Jane,202026112,,2005,tt0369441
The Heat,229900000,,2013,tt2404463
Traffic,207500000,,2000,tt0181865
The Motorcycle Diaries,57600000,,2004,tt0318462
The Terminal,219417255,,2004,tt0362227
Interview with the Vampire,223700000,,1994,tt0110148
Rambo: First Blood Part II,300400000,,1985,tt0089880
Dark Shadows,245500000,,2012,tt1077368
Resident Evil: Afterlife,300200000,,2010,tt1220634
Dogville,16680836,,2003,tt0276919
The Karate Kid,359100000,,2010,tt1155076
Men in Black 3,624026776,,2012,tt1409024
Jerry Maguire,273600000,,1996,tt0116695
Public Enemies,214104620,,2009,tt1152836
Mr. Bean's Holiday,229700000,,2007,tt0453451
The Abyss,90000098,,1989,tt0096754
L.A. Confidential,126216,,1997,tt0119488
Ace Ventura: When Nature Calls,212385533,,1995,tt0112281
Real Steel,299268508,,2011,tt0433035
American Gangster,266500000,,2007,tt0765429
The Elephant Man,26010864,,1980,tt0080678
"Crouching Tiger, Hidden Dragon",213500000,,2000,tt0190332
The Hangover Part II,586764305,,2011,tt1411697
Australia,211368784,,2008,tt0455824
The Girl with the Dragon Tattoo,104395170,,2009,tt1132620
Taken,226800000,,2008,tt0936501
You've Got Mail,250800000,,1998,tt0128853
Stuck on You,65000000,,2003,tt0338466
Oscar,23562716,,1991,tt0102603
American Reunion,235000000,,2012,tt1605630
Pretty Woman,463406268,,1990,tt0100405
Catch Me If You Can,352100000,,2002,tt0264464
Out of Africa,227500000,,1985,tt0089755
Armageddon,553709788,,1998,tt0120591
Iron Man 3,1214811252,,2013,tt1300854
Shutter Island,294800000,,2010,tt1130884
Journey 2: The Mysterious Island,335300000,,2012,tt1397514
I Am Legend,585349010,,2007,tt0480249
The Hunger Games,694394724,,2012,tt1392170
The Rock,335100000,,1996,tt0117500
The Twilight Saga: Eclipse,698491347,,2010,tt1325004
24 Hour Party People,2800000,,2002,tt0274309
X-Men Origins: Wolverine,373100000,,2009,tt0458525
25th Hour,341517.73,,2002,tt0307901
Constantine,230900000,,2005,tt0360486
The Hangover,467500000,,2009,tt1119646
The Mask,351600000,,1994,tt0110475
X2,407700000,,2003,tt0290334
The Pursuit of Happiness,307100000,,2006,tt0454921
American Pie,235500000,,1999,tt0163651
Erin Brockovich,256271286,,2000,tt0195685
The Cell,104155843,,2000,tt0209958
A.I. Artificial Intelligence,235926552,,2001,tt0212720
X-Men: The Last Stand,459400000,,2006,tt0376994
Hairspray,202500000,,2007,tt0427327
Knocked Up,219100000,,2007,tt0478311
2 Fast 2 Furious,236400000,,2003,tt0322259
Jumanji,262800000,,1995,tt0113497
Face/Off,245676146,,1997,tt0119094
Fantastic Four,330600000,,2005,tt0120667
The Da Vinci Code,758239851,,2006,tt0382625
Resident Evil: Apocalypse,129300000,,2004,tt0318627
Harry Potter and the Deathly Hallows – Part 1,960666490,,2010,tt0926084
Harry Potter and the Half-Blood Prince,934326396,,2009,tt0417741
"10,000 BC",269800000,,2008,tt0443649
A Beautiful Mind,313500000,,2001,tt0268978
101 Reykjavík,126.404,,2000,tt0237993
10 Things I Hate About You,893344.07,,1999,tt0147800
Ten Canoes,3000000,,2006,tt0466399
Ratatouille,623722818,,2007,tt0382932
Transformers,709709780,,2007,tt0418279
Alvin and the Chipmunks: Chipwrecked,342700000,,2011,tt1615918
The Smurfs,563749323,,2011,tt0472181
Pietà,3623330,,2012,tt2299842
Mrs. Doubtfire,441300000,,1993,tt0107614
Amélie,173900000,,2001,tt0211915
Spider-Man,825025036,,2002,tt0145487
The Lake House,114830111,,2006,tt0410297
Requiem for a Dream,7400000,,2000,tt0180093
Austin Powers: The Spy Who Shagged Me,312016858,,1999,tt0145660
Coming to America,288800000,,1988,tt0094898
The Bourne Legacy,276100000,,2012,tt1194173
Fast Five,626137675,,2011,tt1596343
Lethal Weapon 4,285400000,,1998,tt0122151
Passion Fish,4814619,,1992,tt0105107
When Father Was Away on Business,41184,,1985,tt0089748
Get Low,9695282,,2009,tt1194263
Dumb and Dumber,247300000,,1994,tt0109686
"Girl, Interrupted",48300000,,1999,tt0172493
Chicken Run,224800000,,2000,tt0120630
Lara Croft: Tomb Raider,274703340,,2001,tt0146316
The Village,256700000,,2004,tt0368447
The Bodyguard from Beijing,11193177,,1994,tt0111835
The Chronicles of Narnia: The Voyage of the Dawn Treader,415700000,,2010,tt0980970
Ted,549368315,,2012,tt1637725
Unbreakable,248100000,,2000,tt0217869
Blue Velvet,8551228,,1986,tt0090756
Dr. Dolittle,294500000,,1998,tt0118998
